brand,phonename,cpu,charging,waterproof,screen,characteristic,phonehref,img_url
['OPPO'],[' OPPO Find X6 '],['天玑9200'],['80-119W'],['IPX4'],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，光学防抖拍照，高倍率变焦，潜望式长焦，防水防尘，NFC，红外遥控'],https://item.jd.com/100046131136.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=ca697d385e374f10a274820159a99039,https://img11.360buyimg.com/n1/s450x450_jfs/t1/233594/5/535/67487/65364fe2Ff1bbce60/7504fc13bf4069df.jpg
['vivo'],[' vivo S17e '],['天玑7200'],['50-79W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100051541142.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=9a6b63b2723846198871102f5519a472,https://img12.360buyimg.com/n1/s450x450_jfs/t1/89702/2/45177/62263/653672faFc2e800fb/c434c21a10e5ff4b.jpg
['华为（HUAWEI）'],[' 华为nova 10 '],['骁龙778G'],['50-79W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100027028269.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=d7a1b5e27cfe4a46bfd95d670deff456,https://img14.360buyimg.com/n1/s450x450_jfs/t1/188028/32/35637/35279/64c715d0Fe7233b67/d365def0e7f4276c.jpg
['vivo'],[' vivo S17 Pro '],['天玑8200'],['80-119W'],['生活防水'],['OLED曲面屏'],未知,https://item.jd.com/100052820590.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=05f2f01a8aae44da9e6a5b8e4953fa99,https://img10.360buyimg.com/n1/s450x450_jfs/t1/98237/10/39151/82948/6534f9eeFc089cb68/bf75d43633a60a69.jpg
['vivo'],[' iQOO 11 Pro '],['骁龙8 Gen2'],['151-200W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100048172505.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=be91220d06014bcaa667c9f8e70d1bf8,https://img10.360buyimg.com/n1/s450x450_jfs/t1/177673/39/40683/76925/6536319bF518e0feb/b4d909c9277322dd.jpg
['OPPO'],[' OPPO Reno10 Pro 5G '],['骁龙8+ Gen1'],['80-119W'],['IPX4'],['OLED曲面屏'],未知,https://item.jd.com/100052125032.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=1b0e559f398245cca86c1b8f9c1668d2,https://img12.360buyimg.com/n1/s450x450_jfs/t1/159338/12/40363/76225/6534c0c1F71f3b416/1e47fd846fe99a7b.jpg
['荣耀（HONOR）'],[' 荣耀Magic5 Pro '],['骁龙8 Gen2'],['50-79W'],['IP68'],['OLED曲面屏'],['LTPO屏幕，屏幕指纹，屏幕高刷新率，光学防抖拍照，高倍率变焦，潜望式长焦，防水防尘，NFC，红外遥控，大底主摄'],https://item.jd.com/100053888577.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=11eab24ed95a47858f4f5041b4325e76,https://img12.360buyimg.com/n1/s450x450_jfs/t1/207697/31/29930/66732/63fc3a82Fc2e3ec9f/35a40a693b34e11d.jpg
['荣耀（HONOR）'],[' 荣耀90 '],['骁龙7系列'],['50-79W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100052541468.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=94d9c24f84ae47d0afa4356a02133b9b,https://img13.360buyimg.com/n1/s450x450_jfs/t1/94601/9/42242/100671/6538ee4bF898b0f42/f393ec1278b5666e.jpg
['OPPO'],[' OPPO Find X6 Pro '],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],['LTPO屏幕，E6材质，屏幕指纹，屏幕高刷新率，光学防抖拍照，高倍率变焦，潜望式长焦，防水防尘，无线充电，NFC，红外遥控'],https://item.jd.com/100054574041.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8aaa8dd5a67a4559b00bcabec36140b3,https://img11.360buyimg.com/n1/s450x450_jfs/t1/189039/6/40696/73945/653650e0Fc7003bbf/eb9f869d8e595deb.jpg
['小米（MI）'],[' 小米13 Ultra '],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/100056974405.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=2ac52f5cd474422087dc0de8d783cd09,https://img10.360buyimg.com/n1/s450x450_jfs/t1/78873/16/25462/106471/6530b794Fa694582d/f1481cf9ffce746e.jpg
['vivo'],[' vivo X90 Pro+ '],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/10066163292555.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=a553bb1cf34f4d1a821a10f01f31ee75,https://img10.360buyimg.com/n1/s450x450_jfs/t1/194495/23/40561/105743/653795a2F52022700/716364ddf70e6933.jpg
['华为（HUAWEI）'],[' 华为Mate 50 '],['未公布'],['50-79W'],['IP68'],['OLED直屏'],未知,https://item.jd.com/100037199917.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8ba0380f7cac4f94b4432db395dfb2e9,https://img12.360buyimg.com/n1/s450x450_jfs/t1/192947/26/40655/93708/6534cf4cF9d68a94e/fe0859af4fe4193b.jpg
